"","X","t","pd","Country","Mag","R","PR","S","n1","pdr"
"1359",1359,79,0.999999959051549,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.999479345063861
"1360",1360,80,0.999999966984225,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.999526862542495
"1361",1361,1,0.0666362771019403,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.0301841078949494
"1362",1362,2,0.128832160777874,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.0594571354204849
"1363",1363,3,0.186883542314578,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.0878465827247779
"1364",1364,4,0.241066595905052,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.11537911988856
"1365",1365,5,0.291639092522242,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.142080611979969
"1366",1366,6,0.338841626241112,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.167976143353134
"1367",1367,7,0.382898758843177,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.193090041213335
"1368",1368,8,0.424020088148855,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.217445898470861
"1369",1369,9,0.462401245160119,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.241066595905052
"1370",1370,10,0.498224824757287,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.263974323659335
"1371",1371,11,0.531661254377635,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.286190602087455
"1372",1372,12,0.562869604808502,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.307736301970476
"1373",1373,13,0.591998346952163,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.328631664123556
"1374",1374,14,0.619186058162709,"India",7.5,316.227766016838,14.5010945331606,-1.69897000433602,0.0689603117691037,0.348896318410903
