"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"223481","1973-09-08T07:59:31.200Z",33.175,86.723,33,5.1,"mb",NA,NA,NA,NA,"us","usp00003ca","2014-11-06T23:21:20.047Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"223483","1973-09-08T07:25:43.900Z",33.243,86.749,33,5.5,"mb",NA,NA,NA,NA,"us","usp00003c8","2015-05-13T18:53:08.000Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"223650","1973-08-16T08:02:53.800Z",33.081,86.877,33,5.5,"ms",NA,NA,NA,NA,"us","usp000033c","2015-05-13T18:53:08.000Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"223762","1973-08-01T14:05:16.200Z",29.604,89.088,71,4.9,"mb",NA,NA,NA,NA,"us","usp00002yb","2014-11-06T23:21:17.426Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"223867","1973-07-21T19:50:06.300Z",35.112,86.423,33,5.3,"mb",NA,NA,NA,NA,"us","usp00002t2","2014-11-06T23:21:15.167Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"223903","1973-07-16T19:45:38.200Z",35.071,86.45,15,5.4,"mb",NA,NA,NA,NA,"us","usp00002r6","2014-11-06T23:21:14.852Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"223914","1973-07-14T13:39:30.000Z",35.256,86.602,33,5.9,"mb",NA,NA,NA,NA,"us","usp00002qg","2015-05-13T18:53:08.000Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"223920","1973-07-14T04:51:21.000Z",35.178,86.481,33,6.9,"ms",NA,NA,NA,NA,"us","usp00002q7","2015-05-13T18:53:08.000Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"224812","1973-04-04T17:53:08.200Z",30.485,83.68,48,4.8,"mb",NA,NA,NA,NA,"us","usp000017y","2014-11-06T23:21:10.768Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"224927","1973-03-22T01:06:57.200Z",28.135,86.993,33,5.2,"mb",NA,NA,NA,NA,"us","usp000010t","2014-11-06T23:21:10.277Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"225507","1973-01-02T22:25:57.000Z",31.241,88.088,33,5.2,"mb",NA,NA,NA,NA,"us","usp000000h","2014-11-06T23:21:07.238Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"225725","1972-07-22T16:41:03.000Z",31.356,91.444,10,5.9,"mw",NA,NA,NA,NA,"iscgem","iscgem771798","2017-04-26T17:25:57.805Z","eastern Xizang","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem","eastern Xizang"
"226159","1971-05-22T20:03:31.000Z",32.299,92.1,10,5.6,"mw",NA,NA,NA,NA,"iscgem","iscgem784847","2017-04-26T17:24:51.141Z","Xizang-Qinghai border region","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem","Xizang-Qinghai border region"
"226182","1971-05-03T00:33:23.000Z",30.739,84.443,10,5.5,"mw",NA,NA,NA,NA,"iscgem","iscgem784033","2015-05-13T18:53:05.000Z","western Xizang","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem","western Xizang"
"227431","1967-08-15T09:21:03.000Z",31.079,93.639,20,5.7,"mw",NA,NA,NA,NA,"iscgem","iscgem832279","2015-05-13T18:53:01.000Z","eastern Xizang","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem","eastern Xizang"
