"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"193497","1982-07-28T13:26:27.490Z",-55.484,147.394,10,5.4,"mb",NA,NA,NA,1.4,"us","usp0001nqn","2016-11-09T23:05:27.721Z","west of Macquarie Island","earthquake",NA,NA,NA,10,"reviewed","us","us","west of Macquarie Island"
"193569","1982-07-22T17:45:06.200Z",-51.115,161.189,10,5.2,"ms",NA,NA,NA,1.2,"us","usp0001njr","2016-11-09T23:02:32.580Z","north of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","north of Macquarie Island"
"193596","1982-07-20T22:31:30.600Z",-52.446,140.463,10,5.1,"mb",NA,NA,NA,1.1,"us","usp0001nh4","2016-11-09T23:01:44.774Z","west of Macquarie Island","earthquake",NA,NA,NA,5,"reviewed","us","us","west of Macquarie Island"
"193690","1982-07-10T12:04:40.260Z",-55.985,146.843,10,5.5,"ms",NA,NA,NA,1.4,"us","usp0001nbm","2016-11-09T22:57:15.965Z","west of Macquarie Island","earthquake",NA,NA,NA,4,"reviewed","us","us","west of Macquarie Island"
"193705","1982-07-07T12:16:57.020Z",-51.373,160.595,10,5.3,"mb",NA,NA,NA,1.1,"us","usp0001naq","2014-11-07T00:31:35.743Z","north of Macquarie Island","earthquake",NA,NA,NA,7,"reviewed","us","us","north of Macquarie Island"
"193706","1982-07-07T10:43:03.740Z",-51.225,160.513,10,7,"ms",NA,NA,NA,1.3,"us","usp0001nap","2016-11-10T02:39:58.906Z","north of Macquarie Island","earthquake",NA,NA,NA,13,"reviewed","us","us","north of Macquarie Island"
"193793","1982-06-27T16:17:13.490Z",-55.486,160.161,10,6.1,"ms",NA,NA,NA,1.2,"us","usp0001n5f","2016-11-09T22:51:21.823Z","Macquarie Island region","earthquake",NA,NA,NA,11,"reviewed","us","us","Macquarie Island region"
"193975","1982-06-07T00:24:14.970Z",-60.877,154.575,10,5.2,"mb",NA,NA,NA,1.5,"us","usp0001mr6","2016-11-09T22:42:06.822Z","west of Macquarie Island","earthquake",NA,NA,NA,4,"reviewed","us","us","west of Macquarie Island"
"194020","1982-06-01T19:06:30.000Z",-56.365,146.67,10,4.9,"mb",NA,NA,NA,1.5,"us","usp0001mn0","2014-11-07T00:31:23.350Z","west of Macquarie Island","earthquake",NA,NA,NA,2,"reviewed","us","us","west of Macquarie Island"
"194118","1982-05-22T02:55:40.480Z",-55.145,158.424,10,5.1,"mb",NA,NA,NA,0.8,"us","usp0001mez","2016-11-09T22:35:01.096Z","Macquarie Island region","earthquake",NA,NA,NA,1,"reviewed","us","us","Macquarie Island region"
