"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"118080","2000-05-07T23:10:54.190Z",38.164,38.777,5.4,4.5,"mb",NA,NA,NA,NA,"us","usp0009ska","2017-04-26T17:57:03.194Z","eastern Turkey","earthquake",NA,NA,NA,35,"reviewed","isk","us","eastern Turkey"
"118301","2000-04-21T12:23:10.510Z",37.842,29.328,33,5.5,"mwc",NA,NA,NA,1.21,"us","usp0009rnd","2017-04-26T17:57:00.310Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","western Turkey"
"118472","2000-04-02T18:57:38.300Z",40.803,30.244,7,4.6,"mb",NA,NA,NA,NA,"us","usp0009qqa","2014-11-07T01:09:50.499Z","western Turkey","earthquake",NA,NA,NA,46,"reviewed","isk","us","western Turkey"
"118474","2000-04-02T11:41:25.200Z",37.636,37.322,9,4.5,"mb",NA,NA,NA,NA,"us","usp0009qps","2014-11-07T01:09:50.356Z","central Turkey","earthquake",NA,NA,NA,36,"reviewed","isk","us","central Turkey"
"118620","2000-03-20T06:45:33.130Z",40.424,42.395,10,4.6,"mb",NA,NA,NA,1.23,"us","usp0009py8","2014-11-07T01:09:43.541Z","eastern Turkey","earthquake",NA,NA,NA,17,"reviewed","us","us","eastern Turkey"
"118647","2000-03-18T04:09:51.770Z",40.472,42.315,10,4.6,"mb",NA,NA,NA,1.17,"us","usp0009puy","2014-11-07T01:09:42.871Z","eastern Turkey","earthquake",NA,NA,NA,18,"reviewed","us","us","eastern Turkey"
"118847","2000-02-26T08:18:37.690Z",37.304,44.76,33,5.2,"ms",NA,NA,NA,0.92,"us","usp0009nzq","2014-11-07T01:09:33.908Z","Turkey-Iran-Iraq border region","earthquake",NA,NA,NA,1,"reviewed","us","us","Turkey-Iran-Iraq border region"
"118976","2000-02-14T06:56:34.350Z",41.016,31.757,10,4.9,"mb",NA,NA,NA,1.16,"us","usp0009nep","2017-04-13T22:12:34.216Z","western Turkey","earthquake",NA,NA,NA,64,"reviewed","us","us","western Turkey"
"119038","2000-02-07T20:11:49.050Z",39.898,34.019,33,4.6,"mb",NA,NA,NA,0.95,"us","usp0009n64","2014-11-07T01:09:28.441Z","central Turkey","earthquake",NA,NA,NA,1,"reviewed","us","us","central Turkey"
"119774","1999-12-05T22:14:37.700Z",40.677,42.516,10,4.6,"mb",NA,NA,NA,1.08,"us","usp0009jgt","2014-11-07T01:09:06.803Z","eastern Turkey","earthquake",NA,NA,NA,1,"reviewed","us","us","eastern Turkey"
"119803","1999-12-03T20:06:56.700Z",40.305,42.306,34.6,4.6,"mb",NA,NA,NA,1,"us","usp0009jep","2014-11-07T01:09:05.608Z","eastern Turkey","earthquake",NA,8.2,NA,18,"reviewed","us","us","eastern Turkey"
"119805","1999-12-03T17:06:54.700Z",40.358,42.346,19.3,5.7,"mwc",NA,NA,NA,1.27,"us","usp0009jej","2017-04-26T17:56:37.888Z","eastern Turkey","earthquake",NA,5.8,NA,NA,"reviewed","us","hrv","eastern Turkey"
